"Artista";"Titulo";"Duracion";"Categoria";"Idioma";"Carpeta";"Letra";"Cancion";"Video"
"3 Doors Down";"Kryptonite";"N/A";"N/A";"English";"3 Doors Down - Kryptonite.txt";"C:\UltraStar canciones\0-9\3 Doors Down - Kryptonite\3 Doors Down - Kryptonite.txt";"N/A";"N/A"
"4 Non Blondes";"Whats Up";"N/A";"N/A";"English";"4 Non Blondes - Whats Up.txt";"C:\UltraStar canciones\0-9\4 Non Blondes - Whats Up\4 Non Blondes - Whats Up.txt";"N/A";"N/A"
"a-ha";"Take On Me";"N/A";"N/A";"N/A";"A-Ha - Take On Me.txt";"C:\UltraStar canciones\A\A-Ha - Take on Me\A-Ha - Take On Me.txt";"N/A";"N/A"
"ABBA";"Dancing Queen";"N/A";"N/A";"English";"ABBA - Dancing Queen.txt";"C:\UltraStar canciones\ABBA - Dancing Queen\ABBA - Dancing Queen.txt";"C:\UltraStar canciones\ABBA - Dancing Queen\ABBA - Dancing Queen.mp3";"C:\UltraStar canciones\ABBA - Dancing Queen\ABBA - Dancing Queen.avi"
"Abba";"Dancing Queen";"N/A";"N/A";"N/A";"Abba - Dancing Queen.txt";"C:\UltraStar canciones\A\Abba - Dancing Queen\Abba - Dancing Queen.txt";"N/A";"N/A"
"Abba";"Money, Money, Money";"N/A";"N/A";"N/A";"Abba - Money, Money, Money.txt";"C:\UltraStar canciones\A\Abba - Money, Money, Money\Abba - Money, Money, Money.txt";"N/A";"N/A"
"ABBA";"Waterloo";"N/A";"N/A";"N/A";"ABBA - Waterloo.txt";"C:\UltraStar canciones\A\ABBA - Waterloo\ABBA - Waterloo.txt";"N/A";"N/A"
"Ace of Base";"All That She Wants";"N/A";"N/A";"N/A";"Ace of Base - All That She Wants.txt";"C:\UltraStar canciones\A\Ace of Base - All That She Wants\Ace of Base - All That She Wants.txt";"N/A";"N/A"
"Adel Tawil";"Lieder";"N/A";"Pop";"German";"Adel Tawil - Lieder.txt";"C:\UltraStar canciones\A\Adel Tawil - Lieder\Adel Tawil - Lieder.txt";"N/A";"N/A"
"Adel Tawil feat. Matisyahu";"Zuhause";"N/A";"Pop";"German";"Adel Tawil feat. Matisyahu - Zuhause.txt";"C:\UltraStar canciones\A\Adel Tawil feat. Matisyahu - Zuhause\Adel Tawil feat. Matisyahu - Zuhause.txt";"N/A";"N/A"
